#train, test
0.40000, 0.40693
0.56000, 0.61314
0.75000, 0.71168
0.69000, 0.71168
0.67000, 0.69343
0.53000, 0.53102
0.50000, 0.43431
0.53000, 0.47080
0.69000, 0.61314
0.67000, 0.70438
0.79000, 0.72445
0.76000, 0.73175
0.74000, 0.73723
0.73000, 0.74270
0.57000, 0.67701
0.55000, 0.60219
0.53000, 0.55292
0.60000, 0.58577
0.68000, 0.64599
0.71000, 0.70985
0.77000, 0.74635
0.76000, 0.75365
0.67000, 0.75547
0.87000, 0.75365
0.74000, 0.74818
0.70000, 0.74270
0.75000, 0.72445
0.66000, 0.69708
0.68000, 0.66058
0.65000, 0.65146
0.62000, 0.66423
0.74000, 0.69891
0.79000, 0.75365
0.84000, 0.75730
0.82000, 0.75547
0.75000, 0.75912
0.74000, 0.75912
0.77000, 0.75912
0.72000, 0.77007
0.81000, 0.76825
0.78000, 0.77007
0.74000, 0.75730
0.77000, 0.75365
0.70000, 0.73175
0.69000, 0.70073
0.67000, 0.70255
0.75000, 0.69891
0.74000, 0.71715
0.78000, 0.73723
0.77000, 0.74453
0.74000, 0.75182
0.82000, 0.76460
0.71000, 0.77190
0.72000, 0.77555
0.82000, 0.77737
0.80000, 0.77737
0.82000, 0.77737
0.71000, 0.77372
0.76000, 0.77190
0.75000, 0.76825
0.77000, 0.76825
0.78000, 0.75912
0.78000, 0.75912
0.80000, 0.76095
0.77000, 0.74635
0.79000, 0.74453
0.71000, 0.74453
0.74000, 0.74088
0.82000, 0.74088
0.77000, 0.73723
0.76000, 0.73905
0.83000, 0.74270
0.75000, 0.74453
0.82000, 0.74635
0.77000, 0.74818
0.81000, 0.74818
0.76000, 0.75730
0.78000, 0.76277
0.79000, 0.76277
0.77000, 0.76642
0.77000, 0.76460
0.75000, 0.76460
0.74000, 0.77007
0.80000, 0.76642
0.73000, 0.77007
0.85000, 0.77007
0.72000, 0.77190
0.79000, 0.77555
0.74000, 0.78285
0.73000, 0.77920
0.75000, 0.77920
0.76000, 0.77372
0.83000, 0.77007
0.73000, 0.76277
0.74000, 0.77007
0.70000, 0.76460
0.81000, 0.75912
0.75000, 0.76277
0.81000, 0.76460
0.83000, 0.76825
0.86000, 0.76642
0.78000, 0.77555
0.78000, 0.76642
0.78000, 0.76825
0.76000, 0.77555
0.63000, 0.77737
0.77000, 0.78102
0.83000, 0.78102
0.78000, 0.78467
0.85000, 0.78285
0.80000, 0.78832
0.81000, 0.78102
0.79000, 0.77737
0.72000, 0.77737
0.83000, 0.77737
0.74000, 0.77920
0.76000, 0.76825
0.83000, 0.77190
0.74000, 0.77007
0.79000, 0.77555
0.77000, 0.78102
0.85000, 0.78832
0.81000, 0.78650
0.83000, 0.78285
0.75000, 0.78285
0.79000, 0.78467
0.75000, 0.78650
0.85000, 0.78650
0.82000, 0.78832
0.79000, 0.78285
0.88000, 0.77920
0.82000, 0.78832
0.78000, 0.79745
0.78000, 0.79380
0.83000, 0.79562
0.81000, 0.79380
0.85000, 0.79562
0.70000, 0.79380
0.79000, 0.79197
0.79000, 0.78832
0.82000, 0.78467
0.87000, 0.79015
0.83000, 0.78832
0.78000, 0.78650
0.78000, 0.79015
0.88000, 0.79197
0.74000, 0.79197
0.70000, 0.79015
0.76000, 0.79562
0.89000, 0.79745
0.86000, 0.79927
0.86000, 0.79745
0.85000, 0.79927
0.81000, 0.79745
0.77000, 0.79745
0.80000, 0.79927
0.90000, 0.80109
0.78000, 0.80109
0.77000, 0.79927
0.87000, 0.79380
0.85000, 0.79015
0.82000, 0.78467
0.88000, 0.78650
0.75000, 0.78285
0.78000, 0.78832
0.82000, 0.79197
0.83000, 0.79562
0.79000, 0.80109
0.84000, 0.79927
0.82000, 0.80109
0.81000, 0.80109
0.80000, 0.80292
0.79000, 0.80292
0.82000, 0.80109
0.84000, 0.79745
0.76000, 0.79562
0.84000, 0.79015
0.88000, 0.79015
0.77000, 0.78102
0.81000, 0.77737
0.85000, 0.78650
0.95652, 0.78285
