#train, test
764.10095, 680.98633
245.77852, 205.94276
416.92844, 475.77875
618.73376, 532.96875
445.67453, 433.32556
257.85275, 267.43021
106.76639, 148.01881
164.89403, 212.76662
264.00186, 276.46356
213.99840, 170.11502
99.01193, 120.40019
137.97725, 161.23352
209.25040, 214.44682
255.08141, 232.37959
274.10748, 198.04726
209.99385, 142.20911
157.53961, 92.43658
92.04678, 79.55541
87.81240, 102.46327
111.48270, 108.81435
50.65104, 86.36637
70.45055, 67.96514
92.16613, 69.83228
39.69493, 82.72729
103.68500, 92.06438
97.76402, 96.83372
88.54080, 92.29050
87.44204, 80.90600
72.29204, 68.84667
65.70798, 59.19836
50.97530, 54.57589
38.24702, 53.44324
49.42973, 52.13130
46.12036, 50.81028
43.13763, 49.95002
70.48821, 49.04596
38.76718, 48.44056
49.32508, 48.28230
62.23331, 47.98125
36.19620, 48.36039
39.26207, 49.46586
48.94413, 50.31669
47.11080, 50.43939
38.63013, 49.80054
40.71902, 49.35927
35.43184, 48.06285
40.34911, 46.32389
46.84702, 44.95468
35.28158, 43.17000
26.96695, 42.05424
22.96724, 41.11976
43.19268, 40.40622
47.07521, 39.71041
36.05542, 39.01010
28.06676, 38.36784
29.88753, 37.84232
19.41680, 37.47491
36.35733, 36.96074
26.31552, 36.51505
43.51020, 35.95410
26.29940, 35.49469
31.61928, 35.08405
28.52545, 34.64167
35.40508, 34.35815
37.57553, 34.24940
30.32775, 33.86591
31.90709, 33.56042
33.14667, 33.01004
30.72935, 32.15304
26.49846, 31.49484
42.00101, 31.03568
28.70226, 30.71060
33.80362, 30.37665
32.58221, 29.95052
40.21400, 29.46619
19.27277, 28.93148
37.77985, 28.40073
26.13885, 27.93007
28.55965, 27.59662
28.88217, 27.17080
27.07478, 26.76643
22.32647, 26.40094
31.21579, 26.12960
21.57476, 25.95493
27.47854, 25.83723
19.25648, 25.87047
12.53912, 25.99459
29.40729, 26.10811
27.91086, 25.97411
21.46373, 25.81448
34.28376, 25.62247
22.38616, 25.47707
18.06508, 25.49263
23.54617, 25.41630
26.38841, 25.43034
26.73460, 25.48477
16.17611, 25.37424
20.76576, 25.13993
23.59570, 24.68282
13.12480, 24.42449
12.81720, 24.17086
16.38272, 24.11592
16.89521, 24.11316
26.01954, 24.27168
48.42030, 24.21582
32.49611, 24.07280
20.51847, 23.82018
29.78101, 23.45540
30.82041, 22.91427
16.15615, 22.64480
23.09071, 22.20765
25.54580, 21.63447
15.63819, 21.27648
24.40497, 20.66888
22.60198, 20.19880
16.18211, 19.76301
21.46178, 19.47708
23.12378, 19.37153
12.87772, 19.37568
16.39367, 19.49422
16.95328, 19.64276
12.27082, 19.85066
18.45980, 19.66212
14.05083, 19.34405
16.63271, 19.11763
16.73146, 19.09513
19.25492, 19.15921
13.03574, 19.24877
14.45438, 19.29924
14.06839, 19.52962
9.20144, 20.05145
25.31421, 20.26696
17.83709, 20.25468
14.62010, 19.90428
14.57882, 19.46231
14.45961, 19.06223
16.25382, 18.85087
41.11295, 18.60404
28.41792, 18.44553
21.80284, 18.14735
12.87982, 17.90682
8.93166, 17.73073
14.77697, 17.69248
16.82735, 17.66697
15.06966, 17.66175
15.23807, 17.64005
17.17058, 17.64371
24.23764, 17.58232
17.28962, 17.55218
9.27915, 17.50676
12.79599, 17.46251
6.37223, 17.46867
7.04670, 17.46684
19.64632, 17.45234
9.29609, 17.37449
10.72963, 17.34956
6.18509, 17.39458
23.12224, 17.36027
20.72453, 17.35927
13.78229, 17.30907
11.14706, 17.26301
15.33861, 17.17532
16.51762, 17.16463
10.98158, 17.11488
28.62390, 16.96907
21.22559, 16.76971
6.74062, 16.63876
10.30700, 16.55283
13.70049, 16.49726
15.97145, 16.46392
16.22270, 16.39188
21.22054, 16.30677
16.40829, 16.36532
11.67085, 16.43717
6.33545, 16.59835
16.91072, 16.69153
9.75539, 16.53944
9.54493, 16.39225
14.10230, 16.11287
14.30410, 15.81752
8.94169, 15.58257
4.14252, 15.67516
