#train, test
975.32440, 1130.48096
859.48236, 651.10895
777.96014, 1006.24713
965.90015, 953.20618
628.16333, 622.98523
407.40530, 433.07013
509.69745, 600.91711
467.26697, 476.84695
330.07391, 337.42331
395.17755, 446.67490
384.64319, 607.31738
653.64844, 631.85608
541.19135, 560.12567
383.84296, 417.52475
350.48962, 285.08490
392.84027, 292.06604
389.13571, 322.97855
312.67023, 277.11490
224.93599, 220.27655
201.24706, 238.70488
232.08441, 297.28015
339.00101, 350.16315
341.80206, 351.49384
155.50586, 335.02234
293.61325, 286.65591
280.32883, 228.33568
159.77443, 171.14464
153.37599, 146.71799
115.89045, 148.89565
139.62935, 153.17230
158.67490, 142.61909
92.52997, 125.67719
81.14819, 131.94460
75.46247, 172.83269
182.22762, 214.20639
247.88770, 232.16998
240.64218, 228.56396
202.61102, 209.15961
214.64333, 173.75290
68.96485, 140.91241
92.68462, 118.47077
121.57010, 104.03082
82.95901, 94.43636
92.40324, 94.57262
113.75535, 98.73529
99.87267, 98.40434
49.22299, 95.89936
98.89287, 91.53084
65.25224, 87.57265
44.81084, 85.10550
57.77064, 84.60710
48.45357, 86.85333
81.05848, 91.15471
60.14430, 93.95641
36.97822, 94.97975
57.18465, 94.50272
58.47269, 94.61472
88.65502, 92.81058
44.41021, 90.32856
94.41375, 86.82565
57.45653, 83.95128
46.84560, 81.34984
67.40192, 79.51776
85.61262, 77.80535
58.87460, 76.62976
49.38668, 75.50049
58.46726, 74.19168
50.30834, 73.08662
39.73947, 71.80344
80.81326, 70.26280
59.70997, 69.01405
61.85210, 67.89646
48.05723, 66.70429
54.00999, 65.58672
62.23436, 64.43098
42.00613, 63.39529
47.56492, 62.58452
28.28670, 61.45311
35.16206, 60.59464
54.82596, 59.91587
43.88617, 59.25045
65.79126, 58.60996
76.46448, 57.95107
44.32468, 56.99531
47.98550, 55.61160
44.07064, 54.37360
46.12396, 53.49845
60.38686, 52.36720
42.21297, 51.40147
30.14540, 50.53243
57.03924, 49.31942
43.96445, 47.95206
39.29997, 46.80956
48.37910, 45.87729
38.92625, 44.84759
54.75855, 44.09074
21.04019, 43.30531
35.46270, 42.62507
21.99404, 41.75691
22.17175, 41.02707
14.58644, 40.35380
28.53150, 39.51636
36.18856, 38.73158
26.74067, 38.00024
44.29988, 37.03632
53.76002, 35.98639
30.59710, 35.31175
38.15830, 35.11303
28.95973, 35.22033
15.39791, 35.68621
29.32350, 36.51555
27.31926, 37.06838
25.82805, 37.64693
40.47065, 37.89071
31.32370, 37.59959
50.40304, 36.72605
34.38161, 35.38240
32.14255, 34.16557
24.31536, 33.53983
21.36188, 32.84201
37.13742, 32.22390
16.67794, 31.77512
20.20819, 31.58921
10.58167, 31.47780
30.30712, 31.37257
31.36447, 31.26335
44.37390, 31.08142
10.73479, 30.88559
22.64228, 30.51174
27.78340, 30.13479
10.06463, 29.82858
24.93349, 29.58948
27.18440, 29.43505
26.80105, 29.25991
21.42625, 29.04123
18.27203, 28.94735
17.23917, 29.09260
48.17623, 28.94047
30.08976, 28.57133
29.68907, 27.83747
21.03489, 26.96077
15.32963, 26.22934
21.79161, 25.63108
23.33085, 25.09956
24.60113, 24.53008
9.24608, 24.03032
23.78258, 23.46746
36.49167, 22.69697
29.40493, 22.22821
11.35938, 22.02971
10.65867, 21.86156
11.97933, 21.75891
20.40049, 21.70812
14.73143, 21.83016
26.49590, 21.78115
22.02712, 21.72390
6.37574, 21.74913
29.46121, 21.89428
24.57986, 22.12930
22.05575, 22.24569
22.85998, 22.27691
30.62841, 22.41264
15.47009, 22.34470
21.46181, 22.18119
33.46525, 22.06537
26.24697, 21.74166
16.72274, 21.28362
23.54933, 20.95059
15.48004, 20.73371
19.06570, 20.50045
17.08421, 20.35680
14.57662, 20.16442
24.76303, 19.92759
24.92366, 19.52925
11.09028, 19.25044
17.85094, 19.07225
13.78202, 18.91593
11.93871, 18.91715
22.12535, 19.00190
17.48526, 18.91202
14.86733, 18.87144
2.26508, 19.22813
